,year,export,taiwan,other
0,1950,1388,0.0,1388.0
1,1951,4057,98.0,3959.0
2,1952,6944,304.0,6640.0
3,1953,9814,383.0,9431.0
4,1954,6101,320.0,5781.0
5,1955,7190,589.0,6601.0
6,1956,8600,256.0,8344.0
7,1957,8604,366.0,8238.0
8,1958,9568,723.0,8845.0
9,1959,7453,921.0,6532.0
10,1960,6164,472.0,5692.0
11,1961,6309,108.0,6201.0
12,1962,6139,146.0,5993.0
13,1963,9382,320.0,9062.0
14,1964,12326,347.0,11979.0
15,1965,11316,478.0,10838.0
16,1966,8396,326.0,8070.0
17,1967,7244,477.0,6767.0
18,1968,8406,299.0,8107.0
19,1969,11807,573.0,11234.0
20,1970,8983,588.0,8395.0
21,1971,11893,352.0,11541.0
22,1972,10762,245.0,10517.0
23,1973,12139,329.0,11810.0
24,1974,12775,372.0,12403.0
25,1975,15619,342.0,15277.0
26,1976,15883,484.0,15399.0
27,1977,14623,802.0,13821.0
28,1978,13902,786.0,13116.0
29,1979,9906,522.0,9384.0
30,1980,10766,487.0,10279.0
31,1981,13639,687.0,12952.0
32,1982,14012,697.0,13315.0
33,1983,13933,627.0,13306.0
34,1984,11864,336.0,11528.0
35,1985,10786,551.0,10235.0
36,1986,11581,669.0,10912.0
37,1987,12175,111.0,12064.0
38,1988,11917,192.0,11725.0
39,1989,11286,197.0,11089.0
40,1990,10664,225.0,10439.0
41,1991,12484,513.0,11971.0
42,1992,14083,406.0,13677.0
43,1993,13766,1127.0,12639.0
44,1994,11483,852.0,10631.0
45,1995,11177,1313.0,9864.0
46,1996,10839,824.0,10015.0
47,1997,14498,2966.0,11532.0
48,1998,15708,2252.0,13456.0
49,1999,11538,1706.0,9832.0
50,2000,7662,547.0,7115.0
51,2001,5600,342.0,5258.0
52,2002,4882,291.0,4591.0
53,2003,5643,111.0,5532.0
54,2004,6839,314.0,6525.0
55,2005,6738,645.0,6093.0
56,2006,7533,503.0,7030.0
57,2007,7956,13.0,7943.0
58,2008,7150,11.0,7139.0
59,2009,7191,0.0,7191.0
60,2010,8389,35.0,8354.0
61,2011,9024,137.0,8887.0
62,2012,8956,411.0,8545.0
63,2013,7694,582.0,7112.0
64,2014,9490,1042.0,8448.0
65,2015,9868,600.0,9268.0
66,2016,9465,93.0,9372.0
67,2017,11444,487.0,10957.0
68,2018,9576,92.0,9484.0
69,2019,10908,65.0,10843.0
70,2020,9532,121.0,9411.0
71,2021,11074,157.0,10917.0
72,2022,15592,171.0,15421.0
73,2023,11287,210.0,11077.0
